Date,Open,High,Low,Close,Adj Close,Volume
12/18/2014,64.870583,68.102409,64.870583,68.102409,68.102409,947441
12/19/2014,71.474739,71.474739,71.474739,71.474739,71.474739,64601
12/22/2014,75.034424,75.034424,69.507545,70.819008,70.819008,8076062
12/23/2014,71.19371,74.331856,67.30616,68.008728,68.008728,18978143
12/24/2014,67.493515,71.381065,66.697266,71.381065,71.381065,905139
12/26/2014,74.94075,74.94075,73.535606,74.94075,74.94075,936481
12/29/2014,76.767433,78.172569,74.00399,75.081261,75.081261,868340
12/30/2014,75.502808,75.502808,71.708931,73.207748,73.207748,533873
12/31/2014,73.676125,76.861107,73.676125,76.861107,76.861107,868138
1/1/2015,78.68779,80.70182,78.31308,80.70182,80.70182,594580
1/2/2015,83.465263,88.945305,82.715851,83.324745,83.324745,3675757
1/5/2015,84.027313,87.540161,82.762688,85.853996,85.853996,2180050
1/6/2015,84.214668,84.823563,80.56131,80.842331,80.842331,1790570
1/7/2015,81.451225,84.917236,79.999252,83.793129,83.793129,1871377
1/8/2015,85.151428,94.144318,83.5121,90.77198,90.77198,6814236
1/9/2015,91.70874,108.898277,91.427711,108.383057,108.383057,13220339
1/12/2015,110.537605,125.900459,106.228516,121.73188,121.73188,18666447
1/13/2015,118.874763,122.902832,110.865471,113.254211,113.254211,8002882
1/14/2015,114.284645,116.860733,107.212112,110.20974,110.20974,3494112
1/15/2015,111.708557,116.579704,108.991951,112.364288,112.364288,2943212
1/16/2015,111.568039,120.560928,109.928711,118.9216,118.9216,4448936
1/19/2015,119.764687,122.621803,116.298676,117.04808,117.04808,1765311
1/20/2015,117.094917,117.750656,111.942741,113.535233,113.535233,1221107
1/21/2015,113.582077,115.830299,109.600845,110.443932,110.443932,1164618
1/22/2015,110.959145,114.237808,109.132469,109.694519,109.694519,1212154
1/23/2015,111.474365,112.036423,102.856178,104.214478,104.214478,1274985
1/27/2015,105.010727,114.612511,99.483849,114.612511,114.612511,2047207
1/28/2015,116.767059,118.968437,106.4627,107.680489,107.680489,2306477
1/29/2015,107.539978,112.598473,106.369026,107.727325,107.727325,1547884
1/30/2015,108.991951,110.256577,99.858551,101.732071,101.732071,1625324
2/2/2015,103.043533,111.895905,101.451042,111.1465,111.1465,2677607
2/3/2015,111.942741,113.02002,106.603218,109.27298,109.27298,1125077
2/4/2015,110.069229,112.270615,106.790565,107.91468,107.91468,1291338
2/5/2015,108.617249,113.347885,106.087997,107.493141,107.493141,1779407
2/6/2015,108.523575,109.835037,105.385429,106.041161,106.041161,1155357
2/9/2015,104.917046,107.118431,100.795311,101.263687,101.263687,728741
2/10/2015,100.233253,104.823372,97.188782,97.938194,97.938194,839953
2/11/2015,99.015465,101.07634,92.130287,94.37851,94.37851,1680463
2/12/2015,94.612694,100.233253,94.612694,98.781273,98.781273,1290780
2/13/2015,99.671196,103.792938,98.921791,100.28009,100.28009,1061597
2/16/2015,100.935822,103.605583,99.390167,100.233253,100.233253,832227
2/18/2015,101.123177,102.387802,98.359734,98.968628,98.968628,827968
2/19/2015,98.968628,108.570412,98.500252,107.024757,107.024757,2609765
2/20/2015,106.696892,110.912308,103.511909,106.415863,106.415863,2162923
2/23/2015,107.305786,110.537605,105.010727,105.90065,105.90065,1126562
2/24/2015,105.90065,108.570412,102.200447,103.652428,103.652428,730218
2/25/2015,103.839775,105.479103,102.200447,103.839775,103.839775,798281
2/26/2015,104.120804,104.120804,98.734436,99.483849,99.483849,746132
2/27/2015,99.483849,102.434639,99.296494,100.561119,100.561119,520101
3/2/2015,102.200447,114.003616,99.671196,112.457962,112.457962,3006962
3/3/2015,112.551636,116.064484,109.226143,112.08326,112.08326,2165842
3/4/2015,113.301048,114.190964,105.90065,106.556381,106.556381,849228
3/5/2015,106.603218,109.7882,105.432266,107.867844,107.867844,792976
3/9/2015,108.102028,114.09729,107.493141,108.148872,108.148872,970270
3/10/2015,108.664085,117.001244,108.664085,111.942741,111.942741,2681332
3/11/2015,113.066856,115.923973,111.474365,112.551636,112.551636,1421260
3/12/2015,113.722588,115.268242,111.474365,112.364288,112.364288,850759
3/13/2015,113.113693,114.003616,106.977921,107.821007,107.821007,1013723
3/16/2015,107.821007,108.991951,104.354996,105.806969,105.806969,572964
3/17/2015,106.743729,108.476738,105.010727,106.650055,106.650055,427961
3/18/2015,107.258949,107.258949,105.479103,105.853806,105.853806,336836
3/19/2015,106.837402,111.005981,106.509537,107.118431,107.118431,928522
3/20/2015,107.118431,107.727325,103.09037,106.884247,106.884247,877203
3/23/2015,107.633652,107.633652,100.326927,101.357361,101.357361,672652
3/24/2015,101.170013,103.418236,98.640762,99.20282,99.20282,469120
3/25/2015,99.671196,101.825745,96.579887,97.235626,97.235626,511291
3/26/2015,96.486214,97.844513,94.659531,95.502617,95.502617,495356
3/27/2015,95.736809,97.3293,90.959335,95.596291,95.596291,1054597
3/30/2015,97.001434,99.999062,96.39254,99.20282,99.20282,703182
3/31/2015,99.390167,101.732071,97.001434,100.420601,100.420601,534723
4/1/2015,100.607956,104.448669,99.296494,103.558746,103.558746,717131
4/6/2015,103.839775,105.666458,101.919418,103.511909,103.511909,519079
4/7/2015,104.354996,104.354996,100.982658,102.247284,102.247284,433865
4/8/2015,103.418236,112.364288,102.340958,110.959145,110.959145,2085372
4/9/2015,111.895905,114.09729,108.195709,111.989586,111.989586,1812113
4/10/2015,112.176933,130.86528,112.176933,128.99176,128.99176,6594640
4/13/2015,128.944931,132.691971,124.776344,126.04097,126.04097,2306766
4/15/2015,126.41568,134.237625,122.481285,126.509354,126.509354,3295843
4/16/2015,126.462517,128.008163,121.310341,124.823189,124.823189,1441107
4/17/2015,124.588997,131.567856,123.090179,125.525757,125.525757,1866069
4/20/2015,125.525757,127.820816,115.689781,117.98484,117.98484,1193755
4/21/2015,118.968437,125.057373,117.094917,121.122986,121.122986,1146742
4/22/2015,121.919235,124.588997,117.094917,120.935638,120.935638,933264
4/23/2015,122.059746,123.652237,118.500061,119.389984,119.389984,617773
4/24/2015,119.905197,120.045715,110.256577,112.411125,112.411125,675474
4/27/2015,113.254211,115.783455,102.387802,103.465073,103.465073,715051
4/28/2015,99.483849,102.949852,95.174751,101.63839,101.63839,1065997
4/29/2015,101.170013,107.867844,100.28009,104.776535,104.776535,797403
4/30/2015,103.043533,108.289383,102.996696,106.322189,106.322189,437862
5/4/2015,106.884247,110.162903,106.884247,108.757767,108.757767,387638
5/5/2015,109.132469,111.849068,107.727325,108.85144,108.85144,451267
5/6/2015,108.570412,109.507172,100.326927,100.654793,100.654793,554053
5/7/2015,100.233253,102.621986,98.359734,100.092735,100.092735,506258
5/8/2015,102.294121,106.228516,101.919418,102.715668,102.715668,450803
5/11/2015,104.308159,105.572784,102.106773,103.09037,103.09037,251100
5/12/2015,102.340958,104.120804,99.76487,100.186417,100.186417,316460
5/13/2015,100.935822,103.699265,100.045898,102.15361,102.15361,379557
5/14/2015,102.106773,105.104401,100.607956,103.746101,103.746101,329148
5/15/2015,103.746101,105.572784,102.668823,103.465073,103.465073,264804
5/18/2015,103.558746,104.354996,100.888985,101.544716,101.544716,324413
5/19/2015,101.732071,107.539978,101.263687,105.198074,105.198074,568801
5/20/2015,104.917046,106.743729,103.558746,105.010727,105.010727,276884
5/21/2015,105.338593,105.853806,102.434639,103.277718,103.277718,239807
5/22/2015,104.401833,106.228516,103.839775,104.073967,104.073967,257896
5/25/2015,104.02713,104.589188,101.63839,101.966255,101.966255,134306
5/26/2015,101.919418,104.729698,101.357361,102.57515,102.57515,204044
5/27/2015,101.404205,101.966255,98.125542,98.874954,98.874954,427391
5/28/2015,99.062302,103.511909,99.062302,103.137207,103.137207,353108
5/29/2015,103.418236,107.165276,103.043533,106.041161,106.041161,539990
6/1/2015,106.275352,106.650055,102.57515,103.043533,103.043533,183786
6/2/2015,103.371399,104.823372,96.579887,97.844513,97.844513,550392
6/3/2015,98.078705,98.312897,90.959335,94.565857,94.565857,764147
6/4/2015,95.127914,98.26606,94.612694,97.141945,97.141945,367793
6/5/2015,95.315269,98.828117,95.315269,96.954597,96.954597,222062
6/8/2015,96.907761,97.985031,92.270798,94.237991,94.237991,293155
6/9/2015,94.237991,96.064674,92.364471,94.237991,94.237991,257933
6/10/2015,93.910126,97.46981,93.910126,96.205185,96.205185,220031
6/11/2015,97.095108,97.422974,92.739182,93.348068,93.348068,245719
6/12/2015,93.113884,94.144318,91.989769,92.458153,92.458153,170896
6/15/2015,92.458153,95.034241,92.458153,93.816452,93.816452,193479
6/16/2015,94.003799,94.003799,91.380875,93.394913,93.394913,163577
6/17/2015,93.863289,95.783646,92.832855,94.331673,94.331673,275336
6/18/2015,94.565857,98.687599,93.816452,96.533051,96.533051,438084
6/19/2015,97.188782,99.530685,96.486214,97.704002,97.704002,302666
6/22/2015,97.46981,105.947487,97.282463,102.340958,102.340958,651540
6/23/2015,104.167641,106.603218,102.294121,102.856178,102.856178,394604
6/24/2015,103.230881,103.324562,99.109138,99.624359,99.624359,213975
6/25/2015,98.453407,102.294121,98.453407,99.811714,99.811714,215884
6/26/2015,99.296494,100.748466,97.376137,97.938194,97.938194,255100
6/29/2015,95.081078,96.252022,93.58226,95.362106,95.362106,276536
6/30/2015,95.830482,98.172379,94.659531,96.486214,96.486214,211422
7/1/2015,96.860916,100.654793,96.298866,99.249657,99.249657,559749
7/2/2015,99.249657,100.982658,97.657166,98.40657,98.40657,280214
7/3/2015,98.781273,99.577522,95.877319,96.486214,96.486214,274295
7/6/2015,96.252022,98.172379,94.612694,97.516647,97.516647,205826
7/7/2015,98.172379,100.233253,96.720406,97.797676,97.797676,443643
7/8/2015,97.188782,98.078705,94.800049,95.268425,95.268425,511271
7/9/2015,95.268425,102.528313,95.268425,99.999062,99.999062,1019025
7/10/2015,101.357361,102.013092,98.593925,99.483849,99.483849,394531
7/13/2015,99.437004,104.776535,98.500252,103.277718,103.277718,878792
7/14/2015,103.511909,109.319817,103.511909,107.586815,107.586815,1363257
7/15/2015,108.383057,113.956779,107.352623,112.270615,112.270615,1845030
7/16/2015,113.254211,113.254211,107.821007,108.570412,108.570412,508826
7/17/2015,109.038788,111.942741,107.165276,108.570412,108.570412,502234
7/20/2015,109.41349,111.380692,107.821007,109.694519,109.694519,439681
7/21/2015,109.554008,113.254211,106.134834,107.352623,107.352623,698518
7/22/2015,107.305786,111.28701,106.837402,109.179306,109.179306,271970
7/23/2015,109.881874,113.675751,108.195709,109.741364,109.741364,586212
7/24/2015,109.600845,111.1465,107.727325,108.33622,108.33622,454483
7/27/2015,107.961517,108.523575,104.308159,105.057564,105.057564,284382
7/28/2015,105.572784,116.860733,104.448669,112.317451,112.317451,2989564
7/29/2015,113.441559,118.500061,112.504799,116.673378,116.673378,1798440
7/30/2015,117.375946,120.186226,115.97081,118.406387,118.406387,1132552
7/31/2015,118.406387,133.019836,118.406387,131.23999,131.23999,4283975
8/3/2015,131.989395,149.319443,131.989395,143.792557,143.792557,5498097
8/4/2015,145.197708,153.394348,138.078339,149.787827,149.787827,3295573
8/5/2015,150.67775,157.703445,146.274979,151.708176,151.708176,2703106
8/6/2015,150.911942,155.970428,148.663712,153.207001,153.207001,1992731
8/7/2015,152.223404,181.262939,151.848694,172.176376,172.176376,6603247
8/10/2015,171.989014,175.64238,158.49968,160.841583,160.841583,2146072
8/11/2015,162.059372,172.27005,159.764313,164.635468,164.635468,1501156
8/12/2015,161.497314,167.679932,152.785461,154.096924,154.096924,1438164
8/13/2015,155.408386,160.560562,147.586441,148.991577,148.991577,930465
8/14/2015,150.162521,164.869644,150.162521,160.74791,160.74791,1974672
8/17/2015,161.12262,167.117874,154.658966,164.401276,164.401276,1179532
8/18/2015,166.368469,189.225388,163.932892,182.433884,182.433884,5059731
8/19/2015,181.684479,190.53685,178.265305,181.684479,181.684479,3250287
8/20/2015,181.028748,188.288635,174.237244,177.000687,177.000687,2129155
8/21/2015,171.520645,182.574402,168.616684,180.654037,180.654037,1629804
8/24/2015,169.834473,173.019455,162.621429,162.621429,162.621429,1205106
8/25/2015,162.996124,163.932892,146.368652,154.424789,154.424789,2332513
8/26/2015,152.036041,160.466873,148.663712,151.661346,151.661346,884437
8/27/2015,155.50206,166.790009,154.893158,162.387238,162.387238,1465171
8/28/2015,165.057007,167.117874,154.284271,156.157791,156.157791,963440
8/31/2015,155.033676,160.74791,152.504425,158.312332,158.312332,962330
9/1/2015,155.033676,162.153046,150.818253,153.581696,153.581696,1101154
9/2/2015,157.094543,159.202255,152.082886,154.986832,154.986832,978946
9/3/2015,155.970428,162.715103,155.970428,160.279526,160.279526,1056437
9/4/2015,160.185852,163.277161,154.705811,158.87439,158.87439,1403672
9/7/2015,160.185852,162.902451,146.743362,148.616867,148.616867,689174
9/8/2015,149.694153,153.534866,139.249283,150.022018,150.022018,1028767
9/9/2015,153.441193,157.750275,153.441193,154.986832,154.986832,505006
9/10/2015,150.911942,158.171814,149.694153,157.141388,157.141388,593981
9/11/2015,158.031311,164.026566,157.562927,159.998505,159.998505,1023454
9/14/2015,161.12262,164.77597,158.87439,161.169449,161.169449,474464
9/15/2015,161.169449,162.434082,155.876755,156.907196,156.907196,336394
9/16/2015,158.312332,160.092178,154.003235,155.267868,155.267868,317121
9/18/2015,157.00087,161.872025,148.944733,150.30304,150.30304,1078429
9/21/2015,150.068848,157.37558,148.616867,156.391983,156.391983,1345616
9/22/2015,157.37558,161.778336,150.396713,152.176559,152.176559,1174331
9/23/2015,149.038422,161.872025,149.038422,159.670639,159.670639,1235554
9/24/2015,159.2491,169.366089,158.687042,164.167084,164.167084,1638713
9/28/2015,165.338028,167.211548,159.389603,160.185852,160.185852,719543
9/29/2015,157.37558,161.309967,152.317078,158.265503,158.265503,811608
9/30/2015,159.904831,164.541779,159.342773,161.544159,161.544159,719113
10/1/2015,163.183487,174.471436,161.309967,171.754837,171.754837,3183662
10/5/2015,173.76886,179.295746,172.551071,176.298111,176.298111,2045801
10/6/2015,177.328552,178.077957,171.426971,172.691589,172.691589,1206664
